epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.785,2.57571,2.86645,1.25274,0.34981,0.32484,0.22952,0.07231,2.26383,1.96559,1.05366,0.0901786,9.92063e-05,9.92063e-05
2,200.735,1.97937,1.60573,0.99457,0.47172,0.39368,0.32699,0.09245,2.21973,1.77221,1.03947,0.0802766,0.000197234,0.000197234
3,292.45,1.88078,1.50928,0.97954,0.48299,0.49004,0.42256,0.161,1.9337,1.59126,0.97032,0.0703726,0.000293282,0.000293282
4,383.983,1.88406,1.50824,0.97429,0.39791,0.46844,0.33614,0.14562,1.78119,1.75481,0.95812,0.0604667,0.00038735,0.00038735
5,474.946,1.88733,1.51156,0.9773,0.33203,0.30816,0.2328,0.0585,2.70824,1.93434,1.17934,0.0505588,0.000479438,0.000479438
6,564.645,1.84058,1.44228,0.96378,0.46323,0.55652,0.46962,0.20838,1.79236,1.36616,0.95128,0.0406489,0.000569546,0.000569546
7,654.804,1.83298,1.38773,0.96075,0.49316,0.491,0.44377,0.195,1.78206,1.36044,0.95167,0.030737,0.000657673,0.000657673
8,744.583,1.80784,1.38979,0.95781,0.3824,0.50444,0.40543,0.14155,2.05824,1.52039,1.01868,0.0208232,0.000743821,0.000743821
9,833.911,1.807,1.3785,0.95396,0.43936,0.55351,0.43001,0.16674,1.94593,1.4122,0.96067,0.0109074,0.000827989,0.000827989
10,922.905,1.80106,1.36841,0.9496,0.71328,0.3766,0.41047,0.15301,2.0846,1.4288,0.98222,0.000989542,0.000910177,0.000910177
11,1011.92,1.78259,1.3433,0.94946,0.48782,0.55999,0.50133,0.21624,1.77101,1.23145,0.94144,0.000901,0.000901,0.000901
12,1101.35,1.81207,1.32773,0.95909,0.42426,0.60592,0.46098,0.21145,1.67698,1.25844,0.92074,0.0008911,0.0008911,0.0008911
13,1190.37,1.73692,1.28651,0.93945,0.38354,0.65081,0.41675,0.18699,1.73674,1.48035,0.9333,0.0008812,0.0008812,0.0008812
14,1279.39,1.75304,1.28207,0.94593,0.54382,0.54166,0.46005,0.2067,1.78225,1.22441,0.93784,0.0008713,0.0008713,0.0008713
15,1368.41,1.7193,1.25912,0.93971,0.55332,0.6008,0.54459,0.2384,1.78686,1.19296,0.93305,0.0008614,0.0008614,0.0008614
16,1457.78,1.68614,1.23386,0.93073,0.46765,0.67134,0.53392,0.24994,1.7868,1.19164,0.93584,0.0008515,0.0008515,0.0008515
17,1547.17,1.67784,1.23872,0.93699,0.57885,0.56602,0.57246,0.26742,1.75837,1.16687,0.93095,0.0008416,0.0008416,0.0008416
18,1636.59,1.70068,1.23954,0.93073,0.55577,0.62151,0.50785,0.21623,2.00532,1.27896,0.97428,0.0008317,0.0008317,0.0008317
19,1725.54,1.70765,1.20442,0.93688,0.61985,0.54988,0.51561,0.25185,1.64866,1.15036,0.91272,0.0008218,0.0008218,0.0008218
20,1814.56,1.67689,1.19308,0.93208,0.61544,0.58777,0.55233,0.26697,1.68548,1.15406,0.91622,0.0008119,0.0008119,0.0008119
21,1903.67,1.661,1.19103,0.92887,0.66008,0.59908,0.54651,0.26796,1.67042,1.12269,0.9182,0.000802,0.000802,0.000802
1,107.226,2.57571,2.86645,1.25274,0.34981,0.32484,0.22952,0.07231,2.26383,1.96559,1.05366,0.0901786,9.92063e-05,9.92063e-05
2,201.571,1.97937,1.60573,0.99457,0.47172,0.39368,0.32699,0.09245,2.21973,1.77221,1.03947,0.0802766,0.000197234,0.000197234
3,293.257,1.88078,1.50928,0.97954,0.48299,0.49004,0.42256,0.161,1.9337,1.59126,0.97032,0.0703726,0.000293282,0.000293282
4,384.83,1.88406,1.50824,0.97429,0.39791,0.46844,0.33614,0.14562,1.78119,1.75481,0.95812,0.0604667,0.00038735,0.00038735
5,475.731,1.88733,1.51156,0.9773,0.33203,0.30816,0.2328,0.0585,2.70824,1.93434,1.17934,0.0505588,0.000479438,0.000479438
6,565.408,1.84058,1.44228,0.96378,0.46323,0.55652,0.46962,0.20838,1.79236,1.36616,0.95128,0.0406489,0.000569546,0.000569546
7,655.637,1.83298,1.38773,0.96075,0.49316,0.491,0.44377,0.195,1.78206,1.36044,0.95167,0.030737,0.000657673,0.000657673
8,745.445,1.80784,1.38979,0.95781,0.3824,0.50444,0.40543,0.14155,2.05824,1.52039,1.01868,0.0208232,0.000743821,0.000743821
9,834.755,1.807,1.3785,0.95396,0.43936,0.55351,0.43001,0.16674,1.94593,1.4122,0.96067,0.0109074,0.000827989,0.000827989
10,923.808,1.80106,1.36841,0.9496,0.71328,0.3766,0.41047,0.15301,2.0846,1.4288,0.98222,0.000989542,0.000910177,0.000910177
11,1012.9,1.78259,1.3433,0.94946,0.48782,0.55999,0.50133,0.21624,1.77101,1.23145,0.94144,0.000901,0.000901,0.000901
12,1102.29,1.81207,1.32773,0.95909,0.42426,0.60592,0.46098,0.21145,1.67698,1.25844,0.92074,0.0008911,0.0008911,0.0008911
13,1191.31,1.73692,1.28651,0.93945,0.38354,0.65081,0.41675,0.18699,1.73674,1.48035,0.9333,0.0008812,0.0008812,0.0008812
14,1280.34,1.75304,1.28207,0.94593,0.54382,0.54166,0.46005,0.2067,1.78225,1.22441,0.93784,0.0008713,0.0008713,0.0008713
15,1369.5,1.7193,1.25912,0.93971,0.55332,0.6008,0.54459,0.2384,1.78686,1.19296,0.93305,0.0008614,0.0008614,0.0008614
