epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.256,2.09281,2.72345,1.03129,0.30427,0.27922,0.12731,0.04922,2.0123,2.34539,1.01374,0.0901239,9.97585e-05,9.97585e-05
2,347.7,1.92538,2.19717,0.98895,0.29196,0.35402,0.15929,0.06532,1.88058,29.1128,0.96857,0.0802219,0.000197781,0.000197781
3,502.547,1.84548,2.1028,0.96946,0.44438,0.30849,0.16552,0.06666,1.88219,17.4856,0.96402,0.070318,0.000293823,0.000293823
4,657.169,1.83377,2.08866,0.96343,0.32608,0.36891,0.18443,0.08228,1.92592,38.7112,0.9915,0.060412,0.000387886,0.000387886
5,811.639,1.81542,2.06581,0.95929,0.32608,0.36891,0.18443,0.08228,1.6837,inf,0.93245,0.0505041,0.000479968,0.000479968
6,961.025,1.75789,1.97641,0.94785,0.3532,0.43139,0.21139,0.09149,1.81862,1.90558,0.93916,0.0405942,0.00057007,0.00057007
7,1110.03,1.74882,1.95901,0.94435,0.33659,0.38956,0.19273,0.08331,1.81087,1.91524,0.935,0.0306823,0.000658193,0.000658193
8,1258.93,1.71593,1.9697,0.93838,0.35191,0.45718,0.23575,0.10891,1.74873,1.82969,0.93114,0.0207685,0.000744335,0.000744335
9,1406.57,1.69948,1.9229,0.93477,0.29625,0.43123,0.22298,0.1047,1.71491,1.80304,0.92361,0.0108527,0.000828498,0.000828498
10,1552.59,1.69652,1.88909,0.93532,0.31039,0.47085,0.22849,0.10921,1.62863,1.80468,0.91332,0.000934835,0.00091068,0.00091068
11,1698.99,1.65787,1.89827,0.93064,0.23936,0.52344,0.2395,0.11934,1.58,1.76478,0.9092,0.000901,0.000901,0.000901
12,1845.57,1.64061,1.86709,0.92415,0.24498,0.47879,0.23465,0.10609,1.75112,1.8197,0.92344,0.0008911,0.0008911,0.0008911
13,1991.58,1.6426,1.83102,0.92527,0.31416,0.47928,0.2385,0.10528,1.86777,1.81553,0.93963,0.0008812,0.0008812,0.0008812
14,2137.55,1.63382,1.82575,0.92399,0.21793,0.54861,0.23695,0.11385,1.59447,1.71637,0.90094,0.0008713,0.0008713,0.0008713
