epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.766,2.13072,2.96008,1.05076,0.38215,0.19355,0.10223,0.03881,2.01512,3.2618,1.02737,0.0901144,9.98549e-05,9.98549e-05
2,559.95,1.93457,2.32465,0.98696,0.46988,0.28923,0.19927,0.08912,1.73695,2.1604,0.95346,0.0802124,0.000197876,0.000197876
3,811.83,1.83134,2.20042,0.96475,0.35735,0.25011,0.16652,0.07226,1.818,2.29661,0.95017,0.0703084,0.000293918,0.000293918
4,1063.65,1.8221,2.17058,0.96213,0.46822,0.33423,0.2275,0.0985,1.6888,2.07269,0.94026,0.0604025,0.000387979,0.000387979
5,1316.12,1.80647,2.15377,0.95501,0.44942,0.35712,0.21986,0.0929,1.76534,4.5941,0.94823,0.0504946,0.000480061,0.000480061
6,1558.95,1.7441,2.05935,0.94642,0.43921,0.37282,0.2547,0.11971,1.6074,1.87297,0.91985,0.0405847,0.000570162,0.000570162
7,1802.72,1.73175,2.03398,0.94681,0.26716,0.38,0.23256,0.1092,1.58494,1.96493,0.91799,0.0306728,0.000658283,0.000658283
8,2046.21,1.71283,2.02823,0.94188,0.35828,0.40752,0.26393,0.12421,1.61202,1.86272,0.9175,0.0207589,0.000744425,0.000744425
9,2287.61,1.69469,1.96897,0.93418,0.27878,0.40184,0.26485,0.12435,1.55466,1.83886,0.90823,0.0108431,0.000828586,0.000828586
10,2527.01,1.66989,1.93904,0.93588,0.33406,0.44403,0.30874,0.14795,1.5465,1.74918,0.90597,0.000925282,0.000910768,0.000910768
11,2767.36,1.67752,1.90553,0.93197,0.31992,0.42909,0.31211,0.14499,1.58685,1.76086,0.91248,0.000901,0.000901,0.000901
12,3006.11,1.64099,1.88671,0.92488,0.30248,0.45634,0.30515,0.14206,1.57726,1.74943,0.90814,0.0008911,0.0008911,0.0008911
13,3245.56,1.63191,1.85507,0.92453,0.2767,0.45198,0.29644,0.14491,1.52955,1.73406,0.90156,0.0008812,0.0008812,0.0008812
14,3484.39,1.63299,1.84677,0.9286,0.32479,0.46614,0.33207,0.15261,1.53467,1.71473,0.89824,0.0008713,0.0008713,0.0008713
15,3724.06,1.61717,1.83203,0.92182,0.29869,0.45479,0.30282,0.14439,1.57974,1.72089,0.9038,0.0008614,0.0008614,0.0008614
16,3964.08,1.61773,1.80606,0.92013,0.39525,0.44026,0.3318,0.15762,1.52992,1.71611,0.89692,0.0008515,0.0008515,0.0008515
17,4204.04,1.59645,1.81076,0.91914,0.33056,0.49588,0.34985,0.16456,1.52352,1.66428,0.89862,0.0008416,0.0008416,0.0008416
18,4444.1,1.60223,1.78805,0.91791,0.33276,0.48065,0.3394,0.16411,1.50066,1.66123,0.89556,0.0008317,0.0008317,0.0008317
19,4683.49,1.59338,1.76909,0.91608,0.37268,0.46699,0.33711,0.16742,1.50651,1.63803,0.89319,0.0008218,0.0008218,0.0008218
20,4922.53,1.59322,1.77809,0.91604,0.29195,0.50028,0.34108,0.16505,1.49474,1.65177,0.89176,0.0008119,0.0008119,0.0008119
21,5160.04,1.57807,1.75715,0.91324,0.34364,0.45752,0.33831,0.16071,1.51374,1.65924,0.89635,0.000802,0.000802,0.000802
22,5397.83,1.58378,1.74326,0.91686,0.34659,0.48047,0.35941,0.17413,1.49343,1.61163,0.89172,0.0007921,0.0007921,0.0007921
23,5636.69,1.58568,1.70924,0.91385,0.36047,0.53681,0.41208,0.19839,1.48792,1.58315,0.89104,0.0007822,0.0007822,0.0007822
24,5877.79,1.57468,1.70813,0.91414,0.41102,0.54834,0.4198,0.20651,1.48807,1.52375,0.89361,0.0007723,0.0007723,0.0007723
25,6117.87,1.55069,1.64827,0.90706,0.37291,0.5789,0.41724,0.20456,1.4824,1.52775,0.89127,0.0007624,0.0007624,0.0007624
26,6357.88,1.55612,1.64919,0.90975,0.41693,0.56141,0.43864,0.21308,1.49262,1.49285,0.89109,0.0007525,0.0007525,0.0007525
27,6598.53,1.56288,1.62349,0.91374,0.40361,0.55821,0.43647,0.21439,1.47539,1.49008,0.88882,0.0007426,0.0007426,0.0007426
28,6838.19,1.55784,1.63174,0.91349,0.41138,0.57461,0.43508,0.2144,1.47751,1.47503,0.88784,0.0007327,0.0007327,0.0007327
29,7077.12,1.5529,1.63543,0.91325,0.38379,0.59032,0.42642,0.21309,1.47342,1.48935,0.88782,0.0007228,0.0007228,0.0007228
30,7316.84,1.54161,1.58299,0.9079,0.40446,0.56794,0.44857,0.2162,1.47808,1.47207,0.88945,0.0007129,0.0007129,0.0007129
31,7556.52,1.54364,1.59585,0.90809,0.41011,0.57649,0.4391,0.22114,1.46742,1.46104,0.88715,0.000703,0.000703,0.000703
32,7796.98,1.53752,1.57735,0.90592,0.43394,0.55078,0.43042,0.21555,1.4718,1.4511,0.88896,0.0006931,0.0006931,0.0006931
33,8035.6,1.53905,1.58558,0.90888,0.43613,0.56638,0.45282,0.22308,1.47154,1.45641,0.88907,0.0006832,0.0006832,0.0006832
34,8275.97,1.53829,1.59077,0.9111,0.41365,0.58025,0.43308,0.21675,1.46134,1.46208,0.88781,0.0006733,0.0006733,0.0006733
35,8515.31,1.54115,1.57085,0.90852,0.42232,0.56582,0.44483,0.22269,1.46675,1.4611,0.8891,0.0006634,0.0006634,0.0006634
36,8755.24,1.52268,1.55238,0.90583,0.43145,0.5888,0.4554,0.22819,1.47386,1.43931,0.88871,0.0006535,0.0006535,0.0006535
37,8995.44,1.53017,1.53775,0.90601,0.4251,0.58538,0.44525,0.21967,1.47119,1.44729,0.88721,0.0006436,0.0006436,0.0006436
38,9235.38,1.51928,1.56666,0.90445,0.42051,0.58701,0.45213,0.22535,1.46915,1.42606,0.88728,0.0006337,0.0006337,0.0006337
39,9475.22,1.52638,1.54074,0.90327,0.43029,0.57715,0.45874,0.22648,1.47364,1.41781,0.8874,0.0006238,0.0006238,0.0006238
40,9716.68,1.53473,1.54094,0.9079,0.44048,0.56246,0.44144,0.22099,1.47088,1.43338,0.88784,0.0006139,0.0006139,0.0006139
41,9956.32,1.51457,1.55349,0.9035,0.43321,0.58058,0.4479,0.22428,1.46747,1.42914,0.88777,0.000604,0.000604,0.000604
42,10196.3,1.53042,1.53204,0.90732,0.39774,0.55638,0.44268,0.22633,1.47202,1.42471,0.88809,0.0005941,0.0005941,0.0005941
43,10435.6,1.50842,1.53367,0.90234,0.4305,0.58139,0.45816,0.22992,1.46653,1.42926,0.88766,0.0005842,0.0005842,0.0005842
44,10675.9,1.51154,1.50608,0.90309,0.43755,0.57288,0.44797,0.22477,1.47044,1.42184,0.88793,0.0005743,0.0005743,0.0005743
45,10916,1.51548,1.51023,0.9012,0.4241,0.60033,0.4517,0.22573,1.45981,1.42388,0.88692,0.0005644,0.0005644,0.0005644
46,11158,1.49395,1.51139,0.90061,0.41009,0.60215,0.44866,0.22643,1.46397,1.4216,0.88619,0.0005545,0.0005545,0.0005545
47,11400.6,1.51371,1.49917,0.90516,0.42137,0.58999,0.44952,0.22821,1.4685,1.42117,0.88749,0.0005446,0.0005446,0.0005446
48,11641.6,1.49394,1.49409,0.90122,0.4202,0.59038,0.45311,0.23011,1.46483,1.41875,0.88643,0.0005347,0.0005347,0.0005347
49,11883.3,1.48563,1.46766,0.89887,0.42337,0.59501,0.45458,0.23193,1.46581,1.41628,0.88674,0.0005248,0.0005248,0.0005248
50,12124.3,1.49982,1.49565,0.89944,0.43063,0.58491,0.46056,0.2347,1.46492,1.40689,0.88653,0.0005149,0.0005149,0.0005149
51,12367.2,1.49467,1.47281,0.89953,0.44653,0.59833,0.46186,0.23478,1.46542,1.40802,0.88641,0.000505,0.000505,0.000505
52,12609.9,1.48709,1.46104,0.90217,0.4419,0.5803,0.45285,0.23114,1.46495,1.407,0.88597,0.0004951,0.0004951,0.0004951
53,12851.6,1.48162,1.46504,0.89916,0.41315,0.58366,0.45634,0.23253,1.47025,1.40551,0.88683,0.0004852,0.0004852,0.0004852
54,13091.6,1.49835,1.45903,0.90254,0.45078,0.58096,0.4501,0.22948,1.46804,1.40854,0.88643,0.0004753,0.0004753,0.0004753
55,13331.7,1.49159,1.44439,0.90094,0.4101,0.59149,0.45618,0.23008,1.46716,1.4126,0.88643,0.0004654,0.0004654,0.0004654
56,13574.2,1.48459,1.45639,0.89903,0.43046,0.59507,0.46927,0.23256,1.46917,1.40488,0.88652,0.0004555,0.0004555,0.0004555
57,13815.4,1.48084,1.45092,0.90001,0.42603,0.60131,0.46451,0.23123,1.47265,1.40615,0.88731,0.0004456,0.0004456,0.0004456
58,14057.2,1.47416,1.44606,0.9,0.43945,0.60485,0.46787,0.23343,1.47409,1.40565,0.88749,0.0004357,0.0004357,0.0004357
59,14298.3,1.48044,1.43855,0.90087,0.42844,0.6104,0.46558,0.23159,1.47263,1.40914,0.88757,0.0004258,0.0004258,0.0004258
60,14540.4,1.48071,1.42829,0.90249,0.42392,0.62625,0.46723,0.23066,1.47421,1.40665,0.88795,0.0004159,0.0004159,0.0004159
61,14783.9,1.47156,1.45791,0.89555,0.424,0.62797,0.46703,0.23166,1.4749,1.4044,0.88802,0.000406,0.000406,0.000406
62,15026.2,1.46723,1.42143,0.8973,0.43211,0.62358,0.46836,0.23369,1.47779,1.4033,0.88824,0.0003961,0.0003961,0.0003961
63,15267.4,1.46645,1.42888,0.89942,0.42931,0.62143,0.47061,0.2345,1.47719,1.40101,0.8881,0.0003862,0.0003862,0.0003862
64,15509.9,1.46938,1.41703,0.89759,0.43381,0.61866,0.47207,0.23607,1.47726,1.40026,0.8883,0.0003763,0.0003763,0.0003763
65,15751.8,1.46541,1.39707,0.89438,0.43801,0.63008,0.47501,0.23584,1.47899,1.3984,0.88848,0.0003664,0.0003664,0.0003664
66,15993,1.45125,1.39063,0.89436,0.44794,0.61759,0.47536,0.23675,1.48079,1.39657,0.88875,0.0003565,0.0003565,0.0003565
67,16233.5,1.45451,1.40882,0.89501,0.45266,0.61837,0.47326,0.23558,1.48178,1.39784,0.88873,0.0003466,0.0003466,0.0003466
68,16473.9,1.45221,1.39444,0.89584,0.44885,0.61524,0.47689,0.23569,1.48143,1.39709,0.8887,0.0003367,0.0003367,0.0003367
69,16713.7,1.46148,1.39763,0.89432,0.44482,0.61455,0.47561,0.23585,1.48009,1.39779,0.88859,0.0003268,0.0003268,0.0003268
70,16953.7,1.44793,1.37306,0.89533,0.44687,0.615,0.47644,0.23534,1.48091,1.39541,0.88882,0.0003169,0.0003169,0.0003169
71,17194.9,1.44264,1.3871,0.89389,0.44448,0.61572,0.47705,0.23605,1.48117,1.39489,0.88878,0.000307,0.000307,0.000307
72,17434.4,1.44586,1.38147,0.89488,0.4345,0.62445,0.47762,0.23491,1.48218,1.39535,0.88879,0.0002971,0.0002971,0.0002971
73,17674.5,1.45689,1.37202,0.89656,0.42199,0.6195,0.46297,0.23258,1.48429,1.39502,0.88918,0.0002872,0.0002872,0.0002872
74,17913.7,1.44248,1.35663,0.89363,0.43082,0.61162,0.4627,0.23276,1.48591,1.39384,0.88941,0.0002773,0.0002773,0.0002773
75,18154.5,1.43079,1.36302,0.8906,0.43149,0.61242,0.4638,0.23353,1.48713,1.3934,0.88968,0.0002674,0.0002674,0.0002674
76,18394.6,1.42678,1.35437,0.89171,0.43396,0.60459,0.46237,0.23339,1.48742,1.39381,0.88967,0.0002575,0.0002575,0.0002575
77,18634.8,1.42275,1.35937,0.88946,0.44841,0.60712,0.47706,0.23588,1.48754,1.39361,0.88987,0.0002476,0.0002476,0.0002476
78,18874.5,1.43872,1.35448,0.89104,0.44832,0.60414,0.47705,0.23583,1.48873,1.39334,0.89005,0.0002377,0.0002377,0.0002377
79,19114.9,1.41683,1.34261,0.88992,0.44694,0.60695,0.47642,0.23525,1.49007,1.39372,0.89015,0.0002278,0.0002278,0.0002278
80,19355.3,1.42,1.36401,0.89077,0.44738,0.60325,0.4773,0.23489,1.49049,1.39408,0.89021,0.0002179,0.0002179,0.0002179
81,19596.2,1.41583,1.34052,0.88665,0.44767,0.6036,0.47799,0.23561,1.49116,1.39424,0.8904,0.000208,0.000208,0.000208
